Date,Open,High,Low,Close,Adj Close,Volume
2019-09-18,55.264999,55.712502,54.860001,55.692501,54.095013,101360000
2019-09-19,55.502499,55.939999,55.092499,55.240002,53.655491,88242400
2019-09-20,55.345001,55.639999,54.367500,54.432499,52.871151,221652400
2019-09-23,54.737499,54.959999,54.412498,54.680000,53.111553,76662000
2019-09-24,55.257500,55.622501,54.297501,54.419998,52.859005,124763200
2019-09-25,54.637501,55.375000,54.285000,55.257500,53.672493,87613600
2019-09-26,55.000000,55.235001,54.707500,54.972500,53.395660,75334000
2019-09-27,55.134998,55.240002,54.320000,54.705002,53.135838,101408000
2019-09-30,55.224998,56.145000,55.197498,55.992500,54.386406,103909600
2019-10-01,56.267502,57.055000,56.049999,56.147499,54.536953,139223200
2019-10-02,55.764999,55.895000,54.482498,54.740002,53.169830,138449200
2019-10-03,54.607498,55.240002,53.782501,55.205002,53.621494,114426000
2019-10-04,56.410000,56.872501,55.972500,56.752499,55.124607,138478800
2019-10-07,56.567501,57.482498,56.459999,56.764999,55.136734,122306000
2019-10-08,56.455002,57.014999,56.082500,56.099998,54.490818,111820000
2019-10-09,56.757500,56.947498,56.410000,56.757500,55.129459,74770400
2019-10-10,56.982498,57.610001,56.825001,57.522499,55.872524,113013600
2019-10-11,58.237499,59.410000,58.077499,59.052502,57.358624,166795600
2019-10-14,58.724998,59.532501,58.667500,58.967499,57.276070,96427600
2019-10-15,59.097500,59.412498,58.720001,58.830002,57.142521,87360000
2019-10-16,58.342499,58.810001,58.299999,58.592499,56.911831,73903200
2019-10-17,58.772499,59.037498,58.380001,58.820000,57.132801,67585200
2019-10-18,58.647499,59.395000,58.572498,59.102501,57.407196,97433600
2019-10-21,59.380001,60.247501,59.330002,60.127499,58.402798,87247200
2019-10-22,60.290001,60.549999,59.904999,59.990002,58.269238,82293600
2019-10-23,60.525002,60.810001,60.305000,60.794998,59.051144,75828800
2019-10-24,61.127499,61.200001,60.452499,60.895000,59.148285,69275200
2019-10-25,60.790001,61.682499,60.720001,61.645000,59.876774,73477200
2019-10-28,61.855000,62.312500,61.680000,62.262501,60.476559,96572800
2019-10-29,62.242500,62.437500,60.642502,60.822498,59.077858,142839600
2019-10-30,61.189999,61.325001,60.302502,60.814999,59.070568,124522000
2019-10-31,61.810001,62.292500,59.314999,62.189999,60.406136,139162000
2019-11-01,62.384998,63.982498,62.290001,63.955002,62.120506,151125200
2019-11-04,64.332497,64.462502,63.845001,64.375000,62.528461,103272000
2019-11-05,64.262497,64.547501,64.080002,64.282501,62.438606,79897600
2019-11-06,64.192497,64.372498,63.842499,64.309998,62.465317,75864400
2019-11-07,64.684998,65.087502,64.527496,64.857498,63.186256,94940400
2019-11-08,64.672501,65.110001,64.212502,65.035004,63.359196,69986400
2019-11-11,64.574997,65.617500,64.570000,65.550003,63.860905,81821200
2019-11-12,65.387497,65.697502,65.230003,65.489998,63.802444,87388800
2019-11-13,65.282501,66.195000,65.267502,66.117500,64.413788,102734400
2019-11-14,65.937500,66.220001,65.525002,65.660004,63.968075,89182800
2019-11-15,65.919998,66.445000,65.752502,66.440002,64.727989,100206400
2019-11-18,66.449997,66.857498,66.057503,66.775002,65.054344,86703200
2019-11-19,66.974998,67.000000,66.347504,66.572502,64.857071,76167200
2019-11-20,66.385002,66.519997,65.099998,65.797501,64.102043,106234400
2019-11-21,65.922501,66.002502,65.294998,65.502502,63.814648,121395200
2019-11-22,65.647499,65.794998,65.209999,65.445000,63.758617,65325200
2019-11-25,65.677498,66.610001,65.629997,66.592499,64.876549,84020400
2019-11-26,66.735001,66.790001,65.625000,66.072502,64.369965,105207600
2019-11-27,66.394997,66.995003,66.327499,66.959999,65.234581,65235600
2019-11-29,66.650002,67.000000,66.474998,66.812500,65.090889,46617600
2019-12-02,66.817497,67.062500,65.862503,66.040001,64.338287,94487200
2019-12-03,64.577499,64.882500,64.072502,64.862503,63.191139,114430400
2019-12-04,65.267502,65.827499,65.169998,65.434998,63.748882,67181600
2019-12-05,65.947502,66.472504,65.682503,66.394997,64.684135,74424400
2019-12-06,66.870003,67.750000,66.824997,67.677498,65.933578,106075600
2019-12-09,67.500000,67.699997,66.227501,66.730003,65.010490,128042400
2019-12-10,67.150002,67.517502,66.464996,67.120003,65.390457,90420400
2019-12-11,67.202499,67.775002,67.125000,67.692497,65.948196,78756800
2019-12-12,66.945000,68.139999,66.830002,67.864998,66.116241,137310400
2019-12-13,67.864998,68.824997,67.732498,68.787498,67.014969,133587600
2019-12-16,69.250000,70.197502,69.245003,69.964996,68.162140,128186000
2019-12-17,69.892502,70.442497,69.699997,70.102501,68.296104,114158400
